Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"""Sky"" Enterprises,LLC","""Sky"" Enterprises, LLC",Open,06/28/2012,,"20 to 99",1,VA
"(043) FATZ of Dublin",,Open,06/28/2010,,"20 to 99",1,VA
"(Coastal) Coastal Training Technologies Corporation","DuPont Sustainable Solutions",Open,04/15/2011,,"100 to 499",1,VA
"(Richmond ZYTEL)E. I. DuPont de Nemours and Compnay","E. I. DuPont de Nemours and Company",Open,01/12/2011,,"20 to 99",1,VA
"1-800 Flowers Team Services, Inc",,Open,03/29/2022,,"5,000 to 9,999",159,"AL, AZ, CA, CO, CT, DE, FL, GA, IA, IL, IN, MA, MD, MI, MN, MO, NC, NJ, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI"
"1-800-Pack-Rat, LLC",,Open,12/13/2016,,"100 to 499",95,"AL, AZ, CA, CO, CT, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, NC, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, VT, WA, WI"
"10 Roads Express",,Open,07/01/2020,,"5,000 to 9,999",16,"AK, CA, FL, IA, IL, IN, KS, MN, NC, PA, TN, TX, VA"
"106 Union Dublin, LLC",,Open,02/04/2014,,"20 to 99",1,VA
"10705 Courthouse Road LLC",,Open,01/10/2008,,"10 to 19",1,VA
"10novate, Inc.",10novate,Open,05/29/2018,,"5 to 9",1,VA
"10Pearls LLC","10Pearls LLC",Open,04/05/2018,,"20 to 99",1,VA
"1102 CO.","1102 CO.",Open,08/09/2021,,"10 to 19",12,"SD, VA, WA"
"11440 W. Huguenot Road LLC",,Open,01/10/2008,,"10 to 19",1,VA
"11556 BUSY ST LLC",,Open,07/08/2008,,"5 to 9",1,VA
"11th Hour Search LLC",,Open,03/24/2021,,"20 to 99",1,VA
"11th Hour Search, LLC","11th Hour Service",Open,02/13/2015,,"20 to 99",1,VA
"1200 Architectural Engineers, PLLC",,Open,04/09/2013,,"10 to 19",1,VA
"123Junk, LLC",,Open,09/09/2020,,"20 to 99",1,VA
"15740 Woods Edge Road  LLC",,Open,01/10/2008,,"10 to 19",1,VA
"1661 Inc.",,Open,04/02/2020,,"100 to 499",10,"CA, FL, IL, MA, NJ, NY, OR, VA, WA"
"1735 Lynn Wise LLC","Wiseguy Pizza",Open,09/17/2018,,"5 to 9",1,VA
"1757 Golf LLC",,Open,06/21/2010,,"20 to 99",1,VA
"1757 Golf Management LLC",,Open,02/13/2020,,"20 to 99",1,VA
1800skilled.com,,Open,03/12/2009,,"20 to 99",1,VA
1800SKILLED.COM,,Open,03/04/2010,,"20 to 99",1,VA
"1901 Group, LLC",,Open,05/04/2021,,"100 to 499",1,VA
"1901 Group, LLC","1901 Group, LLC",Open,10/05/2011,,"20 to 99",5,"AZ, CO, OR, VA"
"1906 Group LLC",,Open,02/24/2020,,"5 to 9",2,"MD, VA"
"1910 Genetics Inc.","1910 Genetics",Open,08/02/2019,,"5 to 9",2,"MA, VA"
"1A Smart Start LLC",,Open,08/26/2008,,"500 to 999",115,"AR, CA, CO, FL, HI, IN, KS, NC, NM, OK, PA, TX, UT, VA, WA, WV"
"1Choice Solutions",,Open,04/29/2010,,"5 to 9",4,"AZ, GA, NC, VA"
"1e Inc",,Open,11/01/2016,,"20 to 99",24,"AZ, CA, CT, FL, GA, KY, MA, MD, MI, NC, NJ, OH, PA, RI, TX, VA, WA, WI"
"1Fish2Fish Inc","Express Employment Professionals",Open,01/31/2022,,"5 to 9",1,VA
"1Health Solutions, LLC",,Open,10/02/2021,,"20 to 99",4,"MD, OK, TX, VA"
"1SPATIAL INC",,Open,06/09/2021,,"20 to 99",1,VA
"1st Advantage Federal Credit Union",,Open,04/16/2015,,"100 to 499",1,VA
"1st Advantage Federal Credit Union",,Open,06/01/2021,,"100 to 499",1,VA
"1st American Home Health Care Services,Inc.","1st American Home Health Care Services,Inc.",Open,02/08/2018,,"20 to 99",1,VA
"1st American Systems and Services, LLC",,Open,03/27/2013,,"20 to 99",5,"DC, MN, NJ, TX, VA"
"1ST AMERICARE LLC",,Open,10/25/2021,,"20 to 99",1,VA
"1st Americare LLC",,Open,01/10/2023,,"100 to 499",1,VA
"1st Class Medical, Inc.",,Open,09/29/2015,,"10 to 19",1,VA
"1st Coast Cargo, Inc.",,Open,11/06/2015,,"20 to 99",4,"CA, FL, NC, VA"
"1st Marine Corporation","1st Marine Corporation",Open,11/20/2018,,"20 to 99",1,VA
"1st Marine Corporation, Inc.",,Open,02/06/2006,,"20 to 99",1,VA
"1st Response Rail Service, Inc.",,Open,12/29/2011,,"20 to 99",3,"NY, SC, VA"
"1st Response Rail Service, Inc.",,Open,09/25/2014,,"20 to 99",5,"NY, SC, VA"
"1Ticket Com LLC",,Open,02/05/2020,,"20 to 99",1,VA
"2 Circle Inc.","2 Circle Inc.",Open,08/24/2022,,"100 to 499",2,"MD, VA"
"2 Johns & D, LLC","Manninos Italian Bistro",Open,10/27/2011,,"20 to 99",1,VA
"2 Silos Brewing Co.",,Open,10/26/2020,,"20 to 99",1,VA
"2 Twelve Solutions, LLC",,Open,04/05/2017,,"10 to 19",9,VA
"20/20 Communications, Inc.",,Open,12/01/2014,,"100 to 499",54,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
"200 West Optics, LLC",,Open,05/12/2021,,"10 to 19",2,"NY, VA"
21stCenturyADONAISMinistries,21stCenturyADONAISMinistries,Open,08/08/2018,,"10 to 19",1,VA
"2229 Plank Road LLC",,Open,01/10/2008,,"10 to 19",1,VA
"22nd Century Technologies Inc.",TSCTI,Open,09/27/2022,,"2,500 to 4,999",2,"NJ, VA"
"23, Ltd.",,Open,12/15/2006,,"20 to 99",5,"CO, GA, PA, VA"
"23rd Street Corporation","23rd Street Corporation",Open,07/17/2020,,"20 to 99",1,VA
"2601 Salem Church Rd LLC",,Open,05/26/2008,,"10 to 19",1,VA
"2716 S. Crater Road  LLC",,Open,01/10/2008,,"10 to 19",1,VA
"2C Logistics",,Open,08/26/2021,,"20 to 99",1,VA
"2MDS Manassas - Pro Home Cleaning LLC",,Open,02/18/2020,,"5 to 9",1,VA
"2MDS Richmond (Goins 2 Clean LLC)",,Open,02/19/2016,,"5 to 9",1,VA
"2nd Echelon Inc",,Open,10/03/2009,,"5 to 9",1,VA
"2nd Land LLC","Landmark Builders",Open,03/16/2022,,"20 to 99",1,VA
"2nd Order Solutions",,Open,10/13/2017,,"20 to 99",1,VA
"2nd Order Solutions",,Open,05/08/2023,,"20 to 99",1,VA
"2nd Solutions",,Open,10/20/2009,,"20 to 99",1,VA
"2nds in Building Materials Inc","Home Emporium",Open,09/16/2016,,"20 to 99",1,VA
"2nds in Building Materials, Inc.",,Open,03/05/2021,,"100 to 499",12,"AL, KY, LA, OH, SC, TN, VA"
"2PSwansons Service LLC",2PS,Open,04/10/2013,,"5 to 9",2,"TX, VA"
"2rw Consultants, Inc.",,Open,02/24/2012,,"20 to 99",1,VA
"2U Inc.",,Open,02/24/2020,,"5,000 to 9,999",11,"AZ, CA, CO, FL, MD, NC, NY, VA"
"2U, Inc",,Open,07/15/2019,,"1,000 to 2,499",6,"CA, CO, MD, NC, NY, VA"
