Employer,Doing Business As,Workforce Size
N Touch Wireless,,20 to 99
N-ASK INCORPORATED,NASK,20 to 99
"n-ask, incorporated",,20 to 99
N.B. Handy,NB Handy,100 to 499
N2N Integrations LLC,,20 to 99
N2N Integrations LLC,N2N Integrations LLC,20 to 99
"N3 Government Solutions, L.L.C.",,10 to 19
NA ALII LLC,,10 to 19
"Na Hoku, Inc.",,500 to 999
"NAB Homecare, Inc",Comfort Keepers,100 to 499
Nacarato Trucks General Partnership,Nacarato Truck Centers,100 to 499
"NACS USA, Inc.",Novo Building Products,"1,000 to 2,499"
Nadeau Corporation,,100 to 499
NAES Corporation,NAES Corporation,"2,500 to 4,999"
"NAG, LLC",,20 to 99
NAI,,5 to 9
"Nalu Medical, Inc",,20 to 99
"NAMCO USA, INC",,500 to 999
"Names in the News California, Inc.",Names in the News,10 to 19
"Nanoscience Instruments, Inc.",,10 to 19
"NAPA Transportation, Inc",,500 to 999
"NAPA Transportation, Inc.",,100 to 499
"NAPA Transportation, Inc.",,500 to 999
"Naphcare, Inc.",,500 to 999
"NASCAR Enterprises, LLC",,"10,000 and over"
Nascott Inc,,20 to 99
NASDAQ OMX Group Inc.,"Nasdaq, Inc.","1,000 to 2,499"
Nashville Quality LLC,,"5,000 to 9,999"
NASSCO Norfolk,,"1,000 to 2,499"
Nat Tech LLC,,100 to 499
Nathan Associates Inc.,,100 to 499
National Alliance for Public Safety GIS Foundation,National Alliance for Public Safety GIS Foundation,10 to 19
National Association for Printing Leadership,NAPL,20 to 99
National Association of City Transportation Officials,NACTO,10 to 19
National Association of Veteran-Serving Organizations,NAVSO,5 to 9
"National Audubon Society, Inc",,500 to 999
"National Aviation Services, LLC",,500 to 999
"National Benefit Services, LLC",,100 to 499
National Black Womens Health Project,Black Womens Health Imperative,20 to 99
"National Building Services, Inc",,20 to 99
"National Capital Industries, Inc.",,20 to 99
National Captioning Institute,,100 to 499
National Center for State Courts,,100 to 499
National Church Residences,,"1,000 to 2,499"
"National Construction Rentals, Inc.",,500 to 999
